YEAR	TYPE	SOURCE	CONTEXT
1839	MAG	USDemRev	""" 48,000,009 1890, - - - "" 62000,000 1900, - - - 81,000,000 1910, - -. - - "" 105,000,000 1920, - - - "" 137,000,000"
1839	MAG	USDemRev	"many thousands of infants born about the present period must doubtless live to the year 1910. And the proportion will certainly be not incousiderable, of the actual readers of"
1842	NF	TreatiseOnRight	"population at the end of each period of ten years, from that time to 1910. The ratio of increase from 1820 to 1830, is taken as the basis"
1842	NF	TreatiseOnRight	"as they did from 1820 to 1830, they will amount, in the year 1910, to 16,277,687; a number almost as great as the whole present population of"
1863	NF	AntiquityMan	"be made to Professor Bonney's presidential address to the British Association at Sheffield in 1910. It will be seen, therefore, that the "" Antiquity of Man """
1872	FIC	Round-aboutRambles	"FACT AND FANCY BY FRANK R STOCKTON NEW EDITION NEW YORK CHARLES SCRIBNER'S SONS 1910 Entered according to Act of Congress, in the year 1872, BY SCRIBNER."
1873	FIC	Virginian	"The Galley Slave, in which Theda Bara was the star, was made about 1910. The Galley Slave is a play whose merits are somewhat above the average of"
1874	FIC	WhatIDidWithMy	"Intense Rage of the Legislature -- Speeches of Indignant Members -- Appearance of Capitol in 1910 -- Strangers from Japan and North Carolina -- Deplorable Consequence of a Bank, etc."
1874	MAG	Harpers (1)	"return of this most interesting of all comets will take place about the year 1910; I can hardly tell you the exact year now, but no doubt before"
1882	FIC	GrandmotherElsie	". BURT COMPANY PUBLISHERS New York Chicago 1882, BY DODD, MEAD &; COMPANY 1910, BY CHARLES B. FINLEY GRANDMOTHER ELSIE CHAPTER I. "" Every state, Allotted to"
1882	FIC	TalkingLeaves	"Publishers New York and London Copyright, 1882, by Harper &; Brothers Copyright, 1910, by William O. Stoddard THE TALKING LEAVES AN INDIAN STORY CHAPTER I "" Look"
1883	FIC	HoosierSchool-boy	"-- -- -- -- Copyright, 1883, By CHARLES SCRIBNER'S SONS Copyright, 1910, By FRANCES G. EGGLESTON -- -- -- -- -- -- -- -- -- --"
1883	FIC	HerMothersSecret	"Copyright, 1882 and 1889 By ROBERT BONNER Renewal granted to Mrs. Charlotte Southworth Lawrence 1910 Her Mother's Secret -- -- -- -- -- -- -- -- -- -- --"
1888	NEWS	NYT-Reg	"mortgage bonds of the Northwestern Grand Trunk Railroad of Michigan, payable Jan. 1, 1910, for $1,000 each, with coupons of January, 1888, and thereafter,"
