YEAR	TYPE	SOURCE	CONTEXT
1815	NF	WarInconsistent	"his son, William Earl Dodge, whose life of almost fourscore years ended in 1883. For long years the head of the great house of Phelps, Dodge &;"
1822	MAG	NorthAmRev	"M. Colonne's first Wagner memorial concert, given on the 25th of February, 1883. The selections begai* with the overture to the Tannhaiiser, fol-* lowed by the"
1822	MAG	NorthAmRev	"Weber's Oberon; the prelude to Wagner's Parsifal. On February 25, 1883, selections from Velldda, a new opera by M. Charles Lenepveu, one of"
1822	MAG	NorthAmRev	". At the Ch&teau d'Eau, M. Lamoureux s orchestra gave on January 28, 1883, the Michel Angelo overture, by Niels W. // Gade; fragments from Gluck"
1822	MAG	NorthAmRev	"early eighteenth century); and the overture to Oberon. Ga March 11, 1883, a memorial concert to Wagner, selections from the Flying Dutchman; the prelude"
1822	MAG	NorthAmRev	"by Madame Essipoff. At the first concert of this season, November 4, 1883, the overture to Jessonda, by Spohr; Beethoven's Fifth Symphony; Espaiia"
1822	MAG	NorthAmRev	"Berlioz's overture to the Carnival Romain. At the Chhtelet, March 4, 1883, the first part of the programme consisted of Mozart's overture to the Marriage"
1822	MAG	NorthAmRev	"rays in a burning-glass. Two of these took place late in the spring of 1883, at the Cirque d'Et6, on the Road Point of the Champs Elys6es."
1825	MAG	NorthAmRev	"alone, in a box high enough to survey the 1 An address delivered in 1883 before the Massachusetts Society for the University of Women, Boston. This posthumous publication"
1844	NF	RamblesRecollections	"ever' (Monier Williams, Religious Thought and Life in India, London, 1883, p. 348), See post, Chapter 27. 14. Sleeman wrote'"
1855	FIC	WorksEdgarAllan	"2489 THE SLEEPING CAR*** Transcribed from the 1883 James R. Osgood and Company edition by David Price, email ccx074coventry.ac.uk THE SLEEPING CAR"
1861	FIC	ElsieVenner	"and habits of thought I can ask nothing more of it. January 23, 1883. PREFACE TO THE NEW EDITION. I have nothing of importance to add to"
1861	NF	AncientLaw	", 1876; Dissertations on Early Law and Custom (selected from Lectures), 1883; Popular Government (four Essays), 1885; India 1837-1887 (in """
1866	MAG	Nation	". The cold wave that spread over the country on March 18 and 19, 1883, is described in some detail as a well-marked and typical illustration of the phenomena"
1866	MAG	Nation	Congo. The chief results of the expedition sent out by the French Government in 1883 under his lead are summed up as follows by the Temps: A territory equal
1866	MAG	Nation	"'s excellent work on the' Games and Songs of American Children' (harpers. 1883), which he praises in very high terms, and ranks among the best"
1866	MAG	Nation	"to an article by the late Blanchard Jerrold in the Nineteenth Century for June, 1883, on "" The Manufacture of Opinion, "" which states that at that date"
1866	MAG	Nation	". The cold wave that spread over the country on March 18 and 19, 1883, is described in some detail as a well-marked and typical illustration of the phenomena"
1872	FIC	SeptimiusFelton	"7372 Septimius Felton; Or, The Elixir Of Life. By Nathanial Hawthorne 1883 INTRODUCTORY NOTE. SEPTIMIUS FELTON. The existence of this story, posthumously published,"
1873	FIC	Virginian	"founded on Von Moser's Ultimo. Copyrighted by Bartley Campbell, November 15, 1883. When this play, Campbell's only adaptation, was produced in San Francisco"
